
code	|	taxid	|	taxname	|	lineage
1	|	1131	|	Synechococcus sp.	|	1131 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	1158105	|	Halorubrum sp. SS7-4	|	1158105 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1168066	|	Mycobacterium abscessus subsp. bolletii F1725	|	1168066 319705 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
2	|	1172	|	Trichormus variabilis	|	264691 264688 1162 1161 1117 1798711 1783272 2 131567 
1	|	1184	|	Leptolyngbya boryana	|	1184 47251 1890438 1890424 1117 1798711 1783272 2 131567 
1	|	1189615	|	Bacillus pumilus BL8	|	1189615 1408 1386 186817 1385 91061 1239 1783272 2 131567 
1	|	1199	|	Phormidium sp.	|	1199 1198 1892254 1150 1301283 1117 1798711 1783272 2 131567 
1	|	121277	|	Pyrobaculum arsenaticum	|	121277 2276 2267 2266 183924 28889 1783275 2157 131567 
1	|	1220	|	Prochlorococcus sp.	|	1220 1218 1213 1890424 1117 1798711 1783272 2 131567 
1	|	1227568	|	Pseudomonas aeruginosa CHA	|	1227568 287 136841 286 135621 72274 1236 1224 2 131567 
1	|	1243649	|	Escherichia coli O55:H7 str. TB182A	|	1243649 244320 562 561 543 91347 1236 1224 2 131567 
1	|	1250025	|	Tenacibaculum sp. MAR_2010_205	|	1250025 104267 49546 200644 117743 976 68336 1783270 2 131567 
1	|	126344	|	Phormidium tenue	|	126344 1198 1892254 1150 1301283 1117 1798711 1783272 2 131567 
1	|	1265478	|	Enterobacteriaceae bacterium bta3-1	|	1265478 36866 191675 543 91347 1236 1224 2 131567 
1	|	1282359	|	Escherichia coli O157:H7 str. EC1825	|	1282359 83334 562 561 543 91347 1236 1224 2 131567 
1	|	1286877	|	Escherichia coli O157:H7 str. TW14313	|	1286877 83334 562 561 543 91347 1236 1224 2 131567 
1	|	1287085	|	Mesorhizobium sp. L103C119B0	|	1287085 68287 69277 356 28211 1224 2 131567 
1	|	1287233	|	Mesorhizobium sp. LNHC221B00	|	1287233 68287 69277 356 28211 1224 2 131567 
1	|	1287268	|	Mesorhizobium sp. LNJC384A00	|	1287268 68287 69277 356 28211 1224 2 131567 
1	|	1287270	|	Mesorhizobium sp. LNJC386A00	|	1287270 68287 69277 356 28211 1224 2 131567 
1	|	1287273	|	Mesorhizobium sp. LNJC391B00	|	1287273 68287 69277 356 28211 1224 2 131567 
1	|	1287275	|	Mesorhizobium sp. LNJC395A00	|	1287275 68287 69277 356 28211 1224 2 131567 
1	|	1287280	|	Mesorhizobium sp. LNJC403B00	|	1287280 68287 69277 356 28211 1224 2 131567 
1	|	12915	|	Acidianus infernus	|	12915 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	1334189	|	Staphylococcus aureus HIP07256	|	1334189 1280 1279 90964 1385 91061 1239 1783272 2 131567 
1	|	13769	|	Natrialba magadii	|	13769 63742 1644061 1644060 183963 28890 2157 131567 
1	|	138072	|	Candidatus Hamiltonella defensa	|	138072 568987 146507 84563 191675 543 91347 1236 1224 2 131567 
1	|	1386772	|	Shewanella sp. 4	|	1386772 22 267890 135622 1236 1224 2 131567 
1	|	1386773	|	Shewanella sp. 40	|	1386773 22 267890 135622 1236 1224 2 131567 
1	|	1386774	|	Shewanella sp. 41	|	1386774 22 267890 135622 1236 1224 2 131567 
1	|	1386775	|	Shewanella sp. 44	|	1386775 22 267890 135622 1236 1224 2 131567 
1	|	1386776	|	Shewanella sp. 49	|	1386776 22 267890 135622 1236 1224 2 131567 
1	|	1389454	|	Candidatus Actinomarina minuta	|	1389454 1389453 1389452 1389451 1389450 1389441 1760 201174 1783272 2 131567 
1	|	1390385	|	Lactobacillus rhamnosus L33	|	1390385 47715 1578 33958 186826 91061 1239 1783272 2 131567 
1	|	1395514	|	Lactobacillus gasseri ADH	|	1395514 1596 1578 33958 186826 91061 1239 1783272 2 131567 
1	|	1400024	|	Escherichia coli D6-117.07	|	1400024 562 561 543 91347 1236 1224 2 131567 
1	|	1444	|	Bacillus thuringiensis serovar tenebrionis	|	1444 1428 86661 1386 186817 1385 91061 1239 1783272 2 131567 
1	|	1449788	|	Sinorhizobium sp. LM21	|	1449788 28105 227292 82115 356 28211 1224 2 131567 
1	|	145262	|	Methanothermobacter thermautotrophicus	|	145262 145260 2159 2158 183925 28890 2157 131567 
1	|	1481923	|	Vibrio astriarenae	|	1481923 662 641 135623 1236 1224 2 131567 
1	|	1497796	|	Klebsiella sp. 390	|	1497796 570 543 91347 1236 1224 2 131567 
1	|	1503040	|	Aurantimonas sp. C5-1	|	1503040 182269 255475 356 28211 1224 2 131567 
1	|	1510937	|	Idiomarinaceae bacterium M2-2	|	1510937 946227 267893 135622 1236 1224 2 131567 
1	|	1510939	|	Idiomarinaceae bacterium N2-2	|	1510939 946227 267893 135622 1236 1224 2 131567 
1	|	151262	|	Microbacterium nematophilum	|	151262 33882 85023 85006 1760 201174 1783272 2 131567 
1	|	1542666	|	Lelliottia sp. GL2	|	1542666 1330545 543 91347 1236 1224 2 131567 
1	|	1550227	|	Clostridium sp. KNHs206	|	1550227 1485 31979 186802 186801 1239 1783272 2 131567 
1	|	1564506	|	Rhodovulum sp. P5	|	1564506 34008 31989 204455 28211 1224 2 131567 
1	|	1569867	|	Pseudomonas sp. 1-1-1b	|	1569867 286 135621 72274 1236 1224 2 131567 
1	|	1584	|	Lactobacillus delbrueckii	|	1584 1578 33958 186826 91061 1239 1783272 2 131567 
1	|	166310	|	Synechococcus sp. WH 6501	|	166310 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	166313	|	Synechococcus sp. WH 8012	|	166313 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	166321	|	Synechococcus sp. WH 8017	|	166321 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	166322	|	Synechococcus sp. WH 8018	|	166322 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	1676276	|	Citrobacter sp. TM1552	|	1676276 544 543 91347 1236 1224 2 131567 
1	|	1676277	|	Enterobacter sp. CT7	|	1676277 547 543 91347 1236 1224 2 131567 
1	|	1678126	|	Pseudoalteromonas sp. Bq0	|	1678126 53246 267888 135622 1236 1224 2 131567 
1	|	1774373	|	Alteromonas mediterranea DE	|	1774373 314275 226 72275 135622 1236 1224 2 131567 
1	|	1810	|	Mycobacterium vaccae	|	1810 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1823	|	Nocardia otitidiscaviarum	|	1823 1817 85025 85007 1760 201174 1783272 2 131567 
2	|	1826778	|	bacterium	|	1869227 49928 2323 2 131567 
1	|	1870901	|	Loktanella sp.	|	1870901 245186 31989 204455 28211 1224 2 131567 
1	|	1872104	|	Acidianus sp.	|	1872104 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	1879286	|	Halorubrum sp.	|	1879286 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1884818	|	Escherichia sp.	|	1884818 561 543 91347 1236 1224 2 131567 
1	|	1888169	|	Cronobacter sp.	|	1888169 413496 543 91347 1236 1224 2 131567 
1	|	1896315	|	Weissella sp.	|	1896315 46255 81850 186826 91061 1239 1783272 2 131567 
1	|	1896336	|	Citrobacter sp.	|	1896336 544 543 91347 1236 1224 2 131567 
1	|	1902	|	Streptomyces coelicolor	|	1902 1477431 1883 2062 85011 1760 201174 1783272 2 131567 
1	|	1904862	|	Marinomonas sp.	|	1904862 28253 135620 135619 1236 1224 2 131567 
1	|	1905321	|	Salicola sp.	|	1905321 332339 28256 135619 1236 1224 2 131567 
1	|	1912315	|	Morganella sp. (in: Bacteria)	|	1912315 581 1903414 91347 1236 1224 2 131567 
1	|	1914291	|	Dickeya sp.	|	1914291 204037 1903410 91347 1236 1224 2 131567 
1	|	1916	|	Streptomyces lividans	|	1916 1883 2062 85011 1760 201174 1783272 2 131567 
1	|	192170	|	Cellulophaga sp. MM#3	|	192170 104264 49546 200644 117743 976 68336 1783270 2 131567 
1	|	1926584	|	Nitrincola sp.	|	1926584 267849 135620 135619 1236 1224 2 131567 
1	|	205	|	Campylobacter sp.	|	205 194 72294 213849 29547 68525 1224 2 131567 
1	|	2061	|	Tsukamurella paurometabola	|	2061 2060 85028 85007 1760 201174 1783272 2 131567 
1	|	207809	|	Sulfolobus tengchongensis	|	207809 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	2107	|	Mycoplasma pulmonis	|	2107 2093 2092 2085 31969 544448 1783272 2 131567 
1	|	2111	|	Mycoplasma arthritidis	|	2111 2093 2092 2085 31969 544448 1783272 2 131567 
1	|	2134	|	Spiroplasma melliferum	|	2134 2132 2131 186328 31969 544448 1783272 2 131567 
1	|	215813	|	Dinoroseobacter shibae	|	215813 309512 31989 204455 28211 1224 2 131567 
1	|	2254	|	Haloferax lucentense	|	2254 2251 1644056 1644055 183963 28890 2157 131567 
1	|	2271	|	Thermoproteus tenax	|	2271 2270 2267 2266 183924 28889 1783275 2157 131567 
1	|	2288	|	Sulfolobus sp.	|	2288 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	232352	|	Synechococcus sp. CB0201	|	232352 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	232353	|	Synechococcus sp. CB0204	|	232353 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	2355	|	unidentified bacterial endosymbiont	|	2355 49928 2323 2 131567 
1	|	239	|	Flavobacterium sp.	|	239 237 49546 200644 117743 976 68336 1783270 2 131567 
1	|	24	|	Shewanella putrefaciens	|	24 22 267890 135622 1236 1224 2 131567 
1	|	2434	|	Roseobacter denitrificans	|	2434 2433 31989 204455 28211 1224 2 131567 
1	|	244363	|	Haloarcula californiae	|	244363 2237 1963268 2235 183963 28890 2157 131567 
1	|	255252	|	Synechococcus sp. CB0208	|	255252 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	266022	|	Pyrobaculum sp. D11	|	266022 2276 2267 2266 183924 28889 1783275 2157 131567 
1	|	267375	|	Pseudoalteromonas marina	|	267375 53246 267888 135622 1236 1224 2 131567 
1	|	269667	|	Acidianus convivator	|	269667 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	272989	|	Salmonella enterica subsp. enterica serovar Enteritidis str. LK5	|	272989 149539 59201 28901 590 543 91347 1236 1224 2 131567 
1	|	274	|	Thermus thermophilus	|	274 270 188786 68933 188787 1297 1783272 2 131567 
1	|	278678	|	alpha proteobacterium JL001	|	278678 33807 82117 28211 1224 2 131567 
1	|	280483	|	Thalassotalea loyana	|	280483 1518149 267889 135622 1236 1224 2 131567 
1	|	28107	|	Pseudoalteromonas espejiana	|	28107 53246 267888 135622 1236 1224 2 131567 
1	|	28169	|	Vibrio pelagius	|	28169 662 641 135623 1236 1224 2 131567 
1	|	288	|	Pseudoalteromonas atlantica	|	288 53246 267888 135622 1236 1224 2 131567 
1	|	28907	|	Caedibacter taeniospiralis	|	28907 28905 2056687 72273 1236 1224 2 131567 
1	|	29292	|	Pyrococcus abyssi	|	29292 2260 2259 2258 183968 28890 2157 131567 
1	|	29387	|	Staphylococcus sp.	|	29387 1279 90964 1385 91061 1239 1783272 2 131567 
1	|	29442	|	Pseudomonas tolaasii	|	29442 136843 286 135621 72274 1236 1224 2 131567 
1	|	29549	|	Rhodothermus marinus	|	29549 29548 563843 1100069 976 68336 1783270 2 131567 
1	|	305430	|	Synechococcus sp. CB0202	|	305430 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	314564	|	Acidianus pozzuoliensis	|	314564 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	314855	|	Vibrio sp. 12A10	|	314855 662 641 135623 1236 1224 2 131567 
1	|	315458	|	Acidianus sp. F28	|	315458 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	315460	|	Acidianus sp. Acii26	|	315460 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	317660	|	Streptomyces sp. F2	|	317660 1883 2062 85011 1760 201174 1783272 2 131567 
1	|	33008	|	Rhodococcus globerulus	|	33008 1827 85025 85007 1760 201174 1783272 2 131567 
1	|	33013	|	Clavibacter michiganensis subsp. michiganensis	|	33013 28447 1573 85023 85006 1760 201174 1783272 2 131567 
1	|	330834	|	Tetrasphaera jenkinsii	|	330834 99479 85021 85006 1760 201174 1783272 2 131567 
1	|	338565	|	Erwinia tasmaniensis	|	338565 551 1903409 91347 1236 1224 2 131567 
1	|	33913	|	Saccharomonospora sp.	|	33913 1851 2070 85010 1760 201174 1783272 2 131567 
1	|	33968	|	Leuconostoc pseudomesenteroides	|	33968 1243 81850 186826 91061 1239 1783272 2 131567 
1	|	33972	|	Streptococcus sp. 'group C'	|	33972 1301 1300 186826 91061 1239 1783272 2 131567 
1	|	339863	|	Gordonia australis	|	339863 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	34009	|	Rhodovulum sp.	|	34009 34008 31989 204455 28211 1224 2 131567 
1	|	340407	|	Geobacillus sp. 6k51	|	340407 129337 186817 1385 91061 1239 1783272 2 131567 
1	|	34051	|	Yersinia enterocolitica (type O:3)	|	34051 630 629 1903411 91347 1236 1224 2 131567 
1	|	346	|	Xanthomonas citri	|	346 643453 338 32033 135614 1236 1224 2 131567 
1	|	349971	|	Streptomyces sp. FR1	|	349971 1883 2062 85011 1760 201174 1783272 2 131567 
1	|	35742	|	Haloarcula sinaiiensis	|	35742 2237 1963268 2235 183963 28890 2157 131567 
1	|	35783	|	Enterococcus sp.	|	35783 1350 81852 186826 91061 1239 1783272 2 131567 
1	|	36822	|	Gordonia rubripertincta	|	36822 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	36823	|	Gordonia sputi	|	36823 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	36828	|	Clostridium botulinum C	|	36828 1491 1485 31979 186802 186801 1239 1783272 2 131567 
1	|	37330	|	Nocardia nova	|	37330 1817 85025 85007 1760 201174 1783272 2 131567 
1	|	380358	|	Xanthomonas albilineans GPE PC73	|	380358 29447 338 32033 135614 1236 1224 2 131567 
1	|	383749	|	Pseudoalteromonas sp. BSi20327	|	383749 53246 267888 135622 1236 1224 2 131567 
1	|	391289	|	Bacillus sp. 6k512	|	391289 1386 186817 1385 91061 1239 1783272 2 131567 
1	|	391290	|	Geobacillus sp. E263	|	391290 129337 186817 1385 91061 1239 1783272 2 131567 
1	|	397453	|	Escherichia coli O111:H2	|	397453 562 561 543 91347 1236 1224 2 131567 
1	|	41673	|	Acidianus brierleyi	|	41673 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	42777	|	Tsukamurella inchonensis	|	42777 2060 85028 85007 1760 201174 1783272 2 131567 
1	|	43080	|	Sulfolobus islandicus	|	43080 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	442459	|	Actinoplanes sp. SN223/29	|	442459 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	44273	|	Lactococcus sp.	|	44273 1357 1300 186826 91061 1239 1783272 2 131567 
1	|	45888	|	Vibrio cholerae O139	|	45888 666 662 641 135623 1236 1224 2 131567 
1	|	472	|	Acinetobacter sp.	|	472 469 468 72274 1236 1224 2 131567 
1	|	47253	|	Leptolyngbya foveolarum	|	47253 47251 1890438 1890424 1117 1798711 1783272 2 131567 
1	|	47834	|	Spiroplasma kunkelii	|	47834 2132 2131 186328 31969 544448 1783272 2 131567 
1	|	498388	|	Escherichia coli C	|	498388 562 561 543 91347 1236 1224 2 131567 
1	|	50421	|	Rhodoferax sp.	|	50421 28065 80864 80840 28216 1224 2 131567 
1	|	51367	|	Salinivibrio costicola	|	51367 51366 641 135623 1236 1224 2 131567 
1	|	51589	|	Haloarcula hispanica	|	51589 2237 1963268 2235 183963 28890 2157 131567 
1	|	52132	|	Brucella sp.	|	52132 234 118882 356 28211 1224 2 131567 
1	|	529121	|	Bacillus thuringiensis serovar tenebrionis str. YBT-1765	|	529121 1444 1428 86661 1386 186817 1385 91061 1239 1783272 2 131567 
1	|	53249	|	Pseudoalteromonas sp.	|	53249 53246 267888 135622 1236 1224 2 131567 
1	|	552	|	Erwinia amylovora	|	552 551 1903409 91347 1236 1224 2 131567 
1	|	558	|	Erwinia sp.	|	558 551 1903409 91347 1236 1224 2 131567 
1	|	563177	|	Acidianus hospitalis	|	563177 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	56450	|	Xanthomonas cassavae	|	56450 338 32033 135614 1236 1224 2 131567 
1	|	565047	|	Listeria monocytogenes serotype 4a str. L99	|	565047 1639 1637 186820 1385 91061 1239 1783272 2 131567 
1	|	56636	|	Aeropyrum pernix	|	56636 56635 2272 114380 183924 28889 1783275 2157 131567 
1	|	59779	|	Paracoccus marcusii	|	59779 265 31989 204455 28211 1224 2 131567 
1	|	598707	|	Planktothrix agardhii HAB637	|	598707 1160 54304 1892252 1150 1301283 1117 1798711 1783272 2 131567 
1	|	599	|	Salmonella sp.	|	599 590 543 91347 1236 1224 2 131567 
1	|	59932	|	Synechococcus sp. WH 8101	|	59932 1129 1890426 1890424 1117 1798711 1783272 2 131567 
1	|	634157	|	Halorubrum sp. PV6	|	634157 56688 1963271 1644055 183963 28890 2157 131567 
1	|	63612	|	Sodalis glossinidius	|	63612 84565 1903410 91347 1236 1224 2 131567 
1	|	641420	|	Iodobacter sp. CdM7	|	641420 32014 90153 1499392 206351 28216 1224 2 131567 
1	|	647	|	Aeromonas sp.	|	647 642 84642 135624 1236 1224 2 131567 
1	|	64713	|	Halorubrum coriense	|	64713 56688 1963271 1644055 183963 28890 2157 131567 
1	|	658056	|	Clostridium phage D-1873	|	658056 12333 10239 
1	|	674516	|	Sulfolobus sp. G4ST-2	|	674516 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	675	|	Vibrio cincinnatiensis	|	675 662 641 135623 1236 1224 2 131567 
1	|	687691	|	Sulfolobus sp. G4ST-T-11	|	687691 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	687692	|	Sulfolobus sp. G4T-1	|	687692 2284 118883 2281 183924 28889 1783275 2157 131567 
1	|	70347	|	Acinetobacter genomosp. 16BJ	|	70347 469 468 72274 1236 1224 2 131567 
1	|	710972	|	uncultured gamma proteobacterium EB000_65A11	|	710972 50423 1236 1224 2 131567 
1	|	728059	|	Aeromonas sp. IS4	|	728059 642 84642 135624 1236 1224 2 131567 
1	|	728061	|	Psychrobacter sp. OW20	|	728061 497 468 72274 1236 1224 2 131567 
1	|	728062	|	Pseudoalteromonas sp. YD6	|	728062 53246 267888 135622 1236 1224 2 131567 
1	|	728063	|	Vibrio sp. YD21	|	728063 662 641 135623 1236 1224 2 131567 
1	|	728064	|	Vibrio sp. YD38	|	728064 662 641 135623 1236 1224 2 131567 
1	|	78	|	Caulobacter sp.	|	78 75 76892 204458 28211 1224 2 131567 
1	|	79967	|	Erwinia pyrifoliae	|	79967 551 1903409 91347 1236 1224 2 131567 
1	|	84096	|	Gordonia alkanivorans	|	84096 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	84139	|	Gordonia sp.	|	84139 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	89053	|	Gordonia amicalis	|	89053 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	91612	|	Xanthomonas campestris pv. pelargonii	|	91612 339 338 32033 135614 1236 1224 2 131567 
1	|	936347	|	Psychrobacter sp. MV2	|	936347 497 468 72274 1236 1224 2 131567 
1	|	945692	|	Gordonia neofelifaecis	|	945692 2053 85026 85007 1760 201174 1783272 2 131567 
1	|	991913	|	Escherichia coli O103:H25	|	991913 562 561 543 91347 1236 1224 2 131567 
1	|	991919	|	Escherichia coli O145:NM	|	991919 562 561 543 91347 1236 1224 2 131567 
