Vrus taxid	Virus name	Virus refseq 	pmid	Evidence	Based on
879628	Aeromonas phage phiAS4	NC_014635		RefSeq	database
879630	Aeromonas phage phiAS5	NC_014636		RefSeq	database
926067	Aeromonas phage PX29	NC_023688	21029436	Literature	database
230158	Haemophilus phage Aaphi23	NC_004827		RefSeq	database
467481	Azospirillum phage Cd	NC_010355		RefSeq	database
1308863	Bacillus phage vB_BanS-Tsamsa	NC_023007		RefSeq	database
345922	Bacillus phage Fah	NC_007814		RefSeq	database
347966	Bacillus phage Cherry	DQ222851		RefSeq	database
359961	Bacillus virus Wbeta	NC_007734		RefSeq	database
513550	Bacillus phage AP50	NC_011523		RefSeq	database
663237	Bacillus phage Wip1	NC_022094		RefSeq	database
1118064	Bacillus phage BceA1	HE614282	22815791	Literature	database
1126949	Bacillus phage B5S	JN797796		RefSeq	database
1126950	Bacillus phage BCP78	NC_018860		RefSeq	database
1126951	Bacillus phage BCU4	JN797798		RefSeq	database
1129192	Bacillus phage BCP8-2	NC_027355		RefSeq	database
1136534	Bacillus phage BCD7	NC_019515		RefSeq	database
1136731	Bacillus phage BPS13	NC_018857		RefSeq	database
1141133	Bacillus phage B4	NC_018863		RefSeq	database
1161901	Bacillus phage PBC1	NC_017976		RefSeq	database
1195072	Bacillus phage vB_BceM-Bc431v3	NC_020873		RefSeq	database
1277886	Bacillus phage BPS10C	NC_023501	24595561	Literature	database
1296655	Bacillus phage JL	NC_028982	24459255	Literature	database
1296656	Bacillus phage Shanette	NC_028983	24459255	Literature	database
1391188	Bacillus phage CP-51	NC_025423		RefSeq	database
1643324	Bacillus phage phi4B1	NC_028886		RefSeq	database
1643326	Bacillus phage phi4J1	NC_029008		RefSeq	database
1690456	Bacillus phage TsarBomba	NC_028890	26472830	Literature	database
1734382	Bacillus phage VMY22	NC_028789	"25680445, 26941234"	"Literature, RefSeq"	database
1868599	Bacillus phage PfEFR-5	NC_031055		RefSeq	database
225725	Bacillus phage phBC6A51	NC_004820		RefSeq	database
225726	Bacillus phage phBC6A52	NC_004821		RefSeq	database
345922	Bacillus phage Fah	NC_007814		RefSeq	database
347962	Bacillus phage Gamma	NC_007458		RefSeq	database
565140	Bacillus phage TP21-L	NC_011645	21994663	Literature	database
57477	Bacillus phage Bastille	NC_018856		RefSeq	database
584892	Bacillus phage Bcp1	NC_024137		RefSeq	database
701257	Bacillus virus 250	NC_029024		RefSeq	database
764595	Bacillus phage W.Ph.	NC_016563		RefSeq	database
1084719	Bacillus virus G	NC_023719		RefSeq	database
1406786	Bacillus phage Page	NC_022764		RefSeq	database
1406787	Bacillus phage poppyseed	KF669657		RefSeq	database
1406789	Bacillus phage Pony	NC_022770		RefSeq	database
1406790	Bacillus phage Slash	NC_022774		RefSeq	database
1406792	Bacillus phage Staley	NC_022767		RefSeq	database
1540090	Bacillus phage Mater	NC_027366		RefSeq	database
1540091	Bacillus phage Moonbeam	NC_027374		RefSeq	database
1540092	Bacillus phage Pascal	NC_027372		RefSeq	database
1540093	Bacillus phage Pookie	NC_027394		RefSeq	database
1597966	Bacillus phage Palmer	NC_028926	25953175	"Literature, RefSeq"	database
1610832	Bacillus phage Stahl	NC_028856	26251491	"Literature, RefSeq"	database
1610833	Bacillus phage Stills	NC_028777	26251490	"Literature, RefSeq"	database
1675598	Bacillus phage Pavlov	NC_028782	26337888	"Literature, RefSeq"	database
1755679	Bacillus phage BM5	NC_029069		RefSeq	database
1776293	Bacillus phage Eldridge	NC_030920		RefSeq	database
1204533	Bacillus phage phiAGATE	NC_020081		RefSeq	database
1406782	Bacillus virus Blastoid	NC_022773		RefSeq	database
1406784	Bacillus virus Glittering	NC_022766		RefSeq	database
1406788	Bacillus virus Riggi	NC_022765		RefSeq	database
1445810	Bacillus phage Bp8p-C	NC_029121		RefSeq	database
1445811	Bacillus phage Bp8p-T	KJ010548		RefSeq	database
66797	Bacillus virus SPbeta	NC_001884		UniProt	database
10685	Bacillus virus SPO1	NC_011421		"RefSeq, UniProt"	database
10717	Bacillus phage phi105	NC_004167		UniProt	database
10724	Bacillus phage SPP1	NC_004166		UniProt	database
10753	Bacillus phage Nf	EU622808		UniProt	database
10756	Bacillus virus phi29	NC_011048		"RefSeq, UniProt"	database
10757	Bacillus phage PZA	M11813		"RefSeq, UniProt"	database
10778	Bacillus virus B103	NC_004165		"RefSeq, UniProt"	database
12345	Bacillus virus GA1	NC_002649		UniProt	database
1406783	Bacillus phage CampHawk	NC_022761		RefSeq	database
1406785	Bacillus phage Grass	NC_022771		RefSeq	database
1497851	Bacillus phage SPG24	NC_030903		RefSeq	database
207656	Bacillus phage phiNIT1	NC_021856		RefSeq	database
66797	Bacillus virus SPbeta	NC_001884		"RefSeq, UniProt"	database
941058	Bacillus phage SP-10	NC_019487	21597187	Literature	database
1105171	Bacteroides phage B124-14	NC_016770		RefSeq	database
99179	Bacteroides phage B40-8	NC_011222		RefSeq	database
1035662	Bdellovibrio phage phi1402	NC_015721		RefSeq	database
1127515	Bdellovibrio phage phi1422	NC_019525		RefSeq	database
145579	Bdellovibrio phage phiMH2K	NC_002643		"RefSeq, UniProt"	database
194699	Bordetella virus BPP1	NC_005357		"RefSeq, UniProt"	database
1296658	Brevibacillus phage Jimmer2	KC595514		RefSeq	database
1296659	Brevibacillus phage Jimmer1	NC_029104		RefSeq	database
1296660	Brevibacillus phage Emery	KC595516		RefSeq	database
1296661	Brevibacillus phage Abouo	NC_029029		RefSeq	database
1296662	Brevibacillus phage Davies	NC_022980		RefSeq	database
1691954	Brevibacillus phage Jenst	NC_028805	26494658	"Literature, RefSeq"	database
1691955	Brevibacillus phage Osiris	NC_028969	26494658	"Literature, RefSeq"	database
1691958	Brevibacillus phage Sundance	NC_028749	26494658	"Literature, RefSeq"	database
764561	Brochothrix phage NF5	NC_015252		RefSeq	database
764562	Brochothrix phage BL3	NC_015254		RefSeq	database
857312	Brochothrix phage A9	NC_015253		RefSeq	database
1308869	Brucella phage Bk	KC556893		RefSeq	database
1136535	Burkholderia virus DC1	NC_018452		RefSeq	database
209052	Burkholderia virus Bcep781	NC_004333		"RefSeq, UniProt"	database
242861	Burkholderia phage BcepNazgul	NC_005091		RefSeq	database
260373	Burkholderia virus Bcep43	NC_005342		RefSeq	database
279280	Burkholderia virus BcepC6B	NC_005887		RefSeq	database
348137	Burkholderia phage Bcep176	NC_007497		RefSeq	database
437329	Burkholderia phage BcepGomr	NC_009447		RefSeq	database
1235712	Burkholderia phage phiX216	JX681814		RefSeq	database
1282994	Burkholderia phage ST79	NC_021343		RefSeq	database
255131	Burkholderia virus phi1026b	NC_005284		RefSeq	database
332032	Burkholderia virus phi52237	NC_007145		RefSeq	database
431891	Burkholderia virus phi6442	NC_009235		RefSeq	database
431892	Burkholderia virus phiE122	NC_009236		RefSeq	database
1110702	Campylobacter virus CPX	NC_016562		RefSeq	database
1541686	Campylobacter phage PC14	NC_031909		RefSeq	database
934027	Campylobacter virus NCTC12673	NC_015464		RefSeq	database
990550	Campylobacter virus CP81	FR823450		RefSeq	database
340054	Bacteriophage APSE-2	NC_011551		RefSeq	database
941969	Liberibacter phage SC1	NC_019549		RefSeq	database
941970	Liberibacter phage SC2	NC_019550		RefSeq	database
1204537	Caulobacter virus phiCbK	NC_019405		RefSeq	database
1211640	Caulobacter phage CcrColossus	NC_019406		RefSeq	database
1211641	Caulobacter virus Karma	NC_019410		RefSeq	database
1211642	Caulobacter virus Magneto	NC_019407		RefSeq	database
1211643	Caulobacter virus Rogue	NC_019408		RefSeq	database
1211644	Caulobacter virus Swift	NC_019411		RefSeq	database
767473	Caulobacter phage phiCb5	NC_019453		RefSeq	database
1327968	Cellulophaga phage phi48:2	NC_021793		RefSeq	database
1327969	Cellulophaga phage phi12:2	NC_021797		RefSeq	database
1327970	Cellulophaga phage phi19:1	NC_021799		RefSeq	database
1327971	Cellulophaga phage phi19:3	NC_021789		RefSeq	database
1327972	Cellulophaga phage phi17:2	NC_021798		RefSeq	database
1327973	Cellulophaga phage phi3ST:2	KC821610		RefSeq	database
1327974	Cellulophaga phage phi46:1	NC_021800		RefSeq	database
1327975	Cellulophaga phage phi40:1	KC821612		RefSeq	database
1327976	Cellulophaga phage phi12:1	NC_021791		RefSeq	database
1327979	Cellulophaga phage phi12:3	KC821615		RefSeq	database
1327980	Cellulophaga phage phi17:1	NC_021795		RefSeq	database
1327981	Cellulophaga phage phi10:1	NC_021802		RefSeq	database
1327982	Cellulophaga phage phi18:1	NC_021790		RefSeq	database
1327983	Cellulophaga phage phi18:3	NC_021794		RefSeq	database
1327984	Cellulophaga phage phi19:2	KC821621		RefSeq	database
1327985	Cellulophaga phage phi46:3	NC_021792		RefSeq	database
1327987	Cellulophaga phage phi12a:1	NC_021805		RefSeq	database
1327990	Cellulophaga phage phi14:2	NC_021806		RefSeq	database
1327992	Cellulophaga phage phi13:1	KC821625		RefSeq	database
1327993	Cellulophaga phage phi39:1	NC_021804		RefSeq	database
1327995	Cellulophaga phage phi18:2	KC821627		RefSeq	database
1327997	Cellulophaga phage phi18:4	KC821628		RefSeq	database
1328028	Cellulophaga phage phi48:1	KC821631		RefSeq	database
1328029	Cellulophaga phage phi4:1	NC_021788		RefSeq	database
1328030	Cellulophaga phage phi13:2	NC_021803		RefSeq	database
756279	Cellulophaga phage phi3:1	KC821630		RefSeq	database
756281	Cellulophaga phage phi47:1	KC821634		RefSeq	database
105154	Chlamydia phage 2	NC_002194		RefSeq	database
10857	Chlamydia phage 1	NC_001741		"RefSeq, UniProt"	database
90963	Guinea pig Chlamydia phage	NC_001998		RefSeq	database
1527524	Citrobacter phage Miller	NC_025414	25593263	Literature	database
1540094	Citrobacter phage Moogle	NC_027293		RefSeq	database
1540095	Citrobacter phage Moon	NC_027331		RefSeq	database
1540096	Citrobacter phage Stevie	NC_027350		RefSeq	database
1610508	Citrobacter phage phiCFP-1	NC_028880		RefSeq	database
1673887	Citrobacter phage IME-CF2	NC_029013		RefSeq	database
1675602	Citrobacter phage Merlin	NC_028857	26430046	"Literature, RefSeq"	database
1675603	Citrobacter phage Michonne	NC_028247		RefSeq	database
1805464	Citrobacter phage SH1	NC_031066		RefSeq	database
1805465	Citrobacter phage SH2	NC_031092		RefSeq	database
1805466	Citrobacter phage SH3	NC_031123		RefSeq	database
1805467	Citrobacter phage SH4	NC_031018		RefSeq	database
1406793	Clavibacter phage CN1A	NC_023549		RefSeq	database
1032362	Clostridium phage phiCD38-2	NC_015568		RefSeq	database
1204534	Clostridium phage phiMMP02	NC_019421		RefSeq	database
1204535	Clostridium phage phiMMP04	NC_019422		RefSeq	database
1411095	Clostridium phage CDMH1	NC_024144	24475037	Literature	database
1437363	Clostridium phage phiCDHM13	NC_029116		RefSeq	database
1582149	Clostridium phage phiCD24-1	LN681534		RefSeq	database
1582150	Clostridium phage phiCD111	NC_028905		RefSeq	database
1582151	Clostridium phage phiCD146	NC_028958		RefSeq	database
1582152	Clostridium phage phiCD211	NC_029048		RefSeq	database
1582153	Clostridium phage phiCD481-1	NC_028951		RefSeq	database
1582154	Clostridium phage phiCD505	NC_028764		RefSeq	database
1582155	Clostridium phage phiCD506	NC_028838		RefSeq	database
1582156	Clostridium phage phiMMP01	NC_028883		RefSeq	database
1582157	Clostridium phage phiMMP03	NC_028959		RefSeq	database
262071	Clostridium virus phiC2	NC_009231		RefSeq	database
320122	Clostridium virus phiCD119	NC_007917		"RefSeq, UniProt"	database
559189	Clostridium virus phiCD27	NC_011398		RefSeq	database
864178	Clostridium phage phiCD6356	NC_015262		RefSeq	database
12336	Clostridium phage c-st	NC_007581		"RefSeq, UniProt"	database
1042122	Clostridium phage phiCP13O	NC_019506		RefSeq	database
1042123	Clostridium phage phiCP34O	NC_019508		RefSeq	database
1042124	Clostridium phage phiCP9O	JF767210		RefSeq	database
1128071	Clostridium phage phi24R	NC_019523		RefSeq	database
1162304	Clostridium phage phiCP7R	NC_017980		RefSeq	database
1162305	Clostridium phage phiCPV4	NC_018083		RefSeq	database
1162306	Clostridium phage phiZP2	NC_018084		RefSeq	database
1187894	Clostridium phage PhiS63	NC_017978		RefSeq	database
1305708	Clostridium phage vB_CpeS-CP51	NC_021325		RefSeq	database
190478	Clostridium phage phi3626	NC_003524		RefSeq	database
541865	Clostridium phage phiCP39-O	NC_011318		RefSeq	database
673376	Clostridium phage phiCP26F	NC_019496		RefSeq	database
1567009	Clostridium phage phiCT19406A	NC_030950		RefSeq	database
1567010	Clostridium phage phiCT19406B	NC_030947		RefSeq	database
1567011	Clostridium phage phiCT19406C	NC_029006		RefSeq	database
1567012	Clostridium phage phiCT453A	NC_028991		RefSeq	database
1567013	Clostridium phage phiCT453B	NC_029004		RefSeq	database
1567015	Clostridium phage phiCTC2A	NC_030949		RefSeq	database
1567016	Clostridium phage phiCTC2B	NC_030951		RefSeq	database
871584	Clostridium phage phiCTP1	NC_014457	20581196	Literature	database
384848	Corynebacterium phage P1201	NC_009816		RefSeq	database
1073754	Cronobacter phage ES2	JF314845		RefSeq	database
1073767	Cronobacter virus ESP29491	NC_019509		RefSeq	database
1141135	Cronobacter phage vB_CsaM_GAP31	NC_019400		RefSeq	database
1141136	Cronobacter phage vB_CsaM_GAP32	NC_019401		RefSeq	database
1141137	Cronobacter phage vB_CsaP_GAP52	NC_019402		RefSeq	database
1141138	Cronobacter phage vB_CsaM_GAP161	NC_019398		RefSeq	database
1162290	Cronobacter phage CR9	NC_023717		RefSeq	database
1162295	Cronobacter phage CR3	NC_017974		RefSeq	database
1195085	Cronobacter phage CR5	NC_021531		RefSeq	database
1264737	Cronobacter phage vB_CskP_GAP227	NC_020078		RefSeq	database
1327934	Cronobacter phage CR8	NC_024354		RefSeq	database
1327935	Cronobacter phage S13	NC_028773		RefSeq	database
1498011	Cronobacter phage vB_CsaP_Ss1	KM058087		RefSeq	database
947842	Cronobacter phage ESSI-2	HQ110083		RefSeq	database
984175	Cronobacter phage ENT39118	NC_019934		RefSeq	database
984186	Cronobacter phage ENT47670	NC_019927		RefSeq	database
665032	Deftia phage phiW-14	NC_013697		RefSeq	database
1091052	Dickeya virus Limestone	NC_019925		RefSeq	database
1477404	Dinoroseobacter phage DFL12phi1	NC_024367		RefSeq	database
1498169	Dinoroseobacter phage vBDshPR2C	KJ803031		RefSeq	database
1325372	Edwardsiella phage PEi21	NC_021342		RefSeq	database
1391659	Edwardsiella phage eiAU-183	NC_023555		RefSeq	database
1608310	Edwardsiella phage PEi20	NC_028683		RefSeq	database
945083	Edwardsiella phage eiAU	KF772233		RefSeq	database
1147139	Enterobacter phage phiKDA1	JQ267518		RefSeq	database
1455074	Enterobacter phage PG7	NC_023561		RefSeq	database
1636313	Enterobacter phage E-2	NC_029102		RefSeq	database
1636314	Enterobacter phage E-3	NC_028795		RefSeq	database
1636315	Enterobacter phage E-4	KP791807		RefSeq	database
942016	Enterobacter phage EcP1	NC_019485		RefSeq	database
1073766	Enterococcus phage SAP6	JF731128		RefSeq	database
1173135	Enterococcus phage BC611	NC_018086		RefSeq	database
1204540	Enterococcus phage EfaCPT1	NC_025465		RefSeq	database
1351735	Enterococcus phage IMEEF1	KF192053		RefSeq	database
1416012	Enterococcus phage IME_EF3	NC_023595		RefSeq	database
1458851	Enterococcus phage VD13	NC_024212		RefSeq	database
1486428	Enterococcus phage EFC-1	NC_025453		RefSeq	database
1498168	Enterococcus phage ECP3	NC_027335		RefSeq	database
1597976	Enterococcus phage EFDG1	NC_029009		RefSeq	database
1640885	Enterococcus phage EFLK1	NC_029026		RefSeq	database
1747287	Enterococcus phage vB_EfaS_IME198	NC_029016		RefSeq	database
1747288	Enterococcus phage vB_EfaP_IME195	NC_028693		RefSeq	database
1747289	Enterococcus phage vB_EfaS_IME196	NC_028990		RefSeq	database
1747326	Enterococcus phage vB_EfaS_IME197	NC_028671		RefSeq	database
442493	Enterococcus phage phiEF24C	NC_009904		"RefSeq, UniProt"	database
627087	Enterococcus phage EFAP-1	NC_012419		RefSeq	database
663241	Enterococcus phage phiEf11	NC_013696		RefSeq	database
673832	Enterococcus phage phiFL1A	NC_013646		RefSeq	database
673833	Enterococcus phage phiFL1B	GQ478082		RefSeq	database
673834	Enterococcus phage phiFL1C	GQ478083		RefSeq	database
673835	Enterococcus phage phiFL2A	NC_013643		RefSeq	database
673836	Enterococcus phage phiFL2B	GQ478085		RefSeq	database
673837	Enterococcus phage phiFL3A	NC_013648		RefSeq	database
673838	Enterococcus phage phiFL3B	GQ478087		RefSeq	database
673839	Enterococcus phage phiFL4A	NC_013644		RefSeq	database
767806	Enterococcus phage EFRM31	NC_015270		RefSeq	database
947379	Enterococcus phage phiEF24C-P2	AB609718		RefSeq	database
1161939	Enterococcus phage vB_Efae230P-4	NC_025467		RefSeq	database
1445858	Enterococcus phage IME-EFm1	NC_024356		RefSeq	database
1647400	Enterococcus phage Ec-ZZ2	NC_031260		RefSeq	database
1718158	Enterococcus phage IME-EFm5	NC_028826		RefSeq	database
1029988	Erwinia phage phiEaH2	NC_019929		RefSeq	database
1051673	Erwinia phage vB_EamP-L1	NC_019510		RefSeq	database
1051674	Erwinia phage vB_EamM-M7	HQ728263		RefSeq	database
1051675	Erwinia phage vB_EamP-S6	NC_019514		RefSeq	database
1051676	Erwinia phage vB_EamM-Y2	NC_019504		RefSeq	database
1401669	Erwinia phage PhiEaH1	NC_023610		RefSeq	database
1429767	Erwinia phage Ea9-2	NC_023579		RefSeq	database
1429768	Erwinia phage Ea35-70	NC_023557		RefSeq	database
1564096	Erwinia phage phiEa2809	NC_027340		RefSeq	database
1883370	Erwinia phage vB_EamM_Asesino	NC_031107		RefSeq	database
1883371	Erwinia phage vB_EamM_ChrisDB	NC_031126		RefSeq	database
1883372	Erwinia phage vB_EamM_EarlPhillipIV	NC_031007		RefSeq	database
1883373	Erwinia phage vB_EamM_Huxley	NC_031127		RefSeq	database
1883374	Erwinia phage vB_EamM_Kwan	NC_031010		RefSeq	database
1883377	Erwinia phage vB_EamM_Phobos	NC_031043		RefSeq	database
1883379	Erwinia phage vB_EamM_Caitlin	NC_031120		RefSeq	database
418443	Erwinia amylovora phage Era103	NC_009014		RefSeq	database
557393	Erwinia phage phiEa21-4	NC_011811		RefSeq	database
925983	Erwinia phage phiEa100	NC_019926	21097611	Literature	database
925986	Erwinia phage phiEa104	NC_015292	21097611	Literature	database
947843	Erwinia phage ENT90	NC_019932		RefSeq	database
1675317	Erysipelothrix phage SE-1	NC_029078		RefSeq	database
103807	Enterobacteria phage phiP27	NC_003356		RefSeq	database
1052121	Enterobacteria phage Bp7	NC_019500		RefSeq	database
1054461	Escherichia phage vB_EcoP_G7C	NC_015933	22341309	Literature	database
1054480	Escherichia phage wV7	NC_019505		RefSeq	database
1054834	Escherichia phage ime09	NC_019503		RefSeq	database
10658	Enterobacteria phage PRD1	NC_001421	4211861	Literature	database
10665	Enterobacteria phage T4	NC_000866		"RefSeq, UniProt"	database
10677	Escherichia virus Mu	NC_000929		RefSeq	database
10678	Escherichia virus P1	NC_005856		RefSeq	database
10679	Escherichia virus P2	NC_001895		RefSeq	database
10682	Enterobacteria phage P7	AF503408		UniProt	database
10693	Enterobacteria phage RB51	NC_012635		UniProt	database
10710	Escherichia virus Lambda	NC_001416		"RefSeq, UniProt"	database
10713	Enterobacteria phage phi80	NC_021190		"RefSeq, UniProt"	database
10726	Escherichia phage T5	NC_005859		"RefSeq, UniProt"	database
10742	Escherichia virus HK022	NC_002166		UniProt	database
10752	Escherichia phage N4	NC_008720		"RefSeq, UniProt"	database
1075774	Enterobacteria phage T7M	JX421753		RefSeq	database
10759	Enterobacteria phage T3	NC_003298		"RefSeq, UniProt"	database
10760	Enterobacteria phage T7	NC_001604		"RefSeq, UniProt"	database
10843	Enterobacteria phage G4	"GQ153923, JF719729, JF719730, JF719731, V00657"		"RefSeq, UniProt"	database
10847	Escherichia phage phiX174	"CP004084, EF380009, EF380010, EF380011, EF380012, EF380013, EF380014, EF380015, EF380016, EF380017, EF380018, EF380019, EF380020, EF380021, EF380022, EF380023, EF380024, EF380025, EF380026, EF380027, EF380028, EF380029, EF380030, EF380031, EF380032, FJ849058, GQ153915, HM753658, HM753659, HM753660, HM753661, HM753662, HM753663, HM753664, HM753665, HM753666, HM753667, HM753668, HM753669, HM753670, HM753671, HM753672, HM753673, HM753674, HM753675, HM753676, HM753677, HM753678, HM753679, HM753680, HM753681, HM753682, HM753683, HM753684, HM753685, HM753686, HM753687, HM753688, HM753689, HM753690, HM753691, HM753692, HM753693, HM753694, HM753695, HM753696, HM753697, HM753698, HM753699, HM753700, HM753701, HM753702, HM753703, HM753704, HM753705, HM753706, HM753707, HM753708, HM753709, HM753710, HM753711, HM753712, HM753713, HM753714, HM753715, HM753716, HM753717, HM753718, HM775306, HM775307, HM775308, HM775309, HM775310, HM775311, JF719726, JF719727, JF719728"	"1265478, 17407380"	"Literature, RefSeq, UniProt"	database
10848	Enterobacteria phage phiK	NC_001730		UniProt	database
10849	Enterobacteria phage alpha3	NC_001330		"RefSeq, UniProt"	database
10863	Enterobacteria phage f1	"GQ153919, J02448, JF719732, JF719733, JF719734"		"RefSeq, UniProt"	database
10864	Enterobacteria phage fd	NC_025824		UniProt	database
10867	Enterobacteria phage Ike	NC_002014		"RefSeq, UniProt"	database
10868	Enterobacteria phage If1	NC_001954		"RefSeq, UniProt"	database
10869	Enterobacteria phage I2-2	NC_001332		"RefSeq, UniProt"	database
10870	Enterobacteria phage M13	NC_003287		"RefSeq, UniProt"	database
1090133	Enterobacteria phage IME10	NC_019501		RefSeq	database
1112008	Escherichia phage Akfv33	NC_017969		RefSeq	database
1115653	Escherichia phage 1720a-02	KF030445		RefSeq	database
1131317	Escherichia phage FV3	NC_019517		RefSeq	database
1141139	Enterobacteria phage vB_EcoP_ACG-C91	NC_019403		RefSeq	database
1141140	Enterobacteria phage vB_EcoS_ACG-M12	NC_019404		RefSeq	database
1141141	Escherichia phage vB_EcoM_ACG-C40	NC_019399		RefSeq	database
1147142	Escherichia phage HK578	NC_019724		RefSeq	database
1147143	Enterobacteria phage HK140	NC_019710		RefSeq	database
1147144	Enterobacteria phage HK225	NC_019717		RefSeq	database
1147145	Enterobacteria phage HK446	NC_019714		RefSeq	database
1147146	Enterobacteria phage HK630	NC_019723		RefSeq	database
1147147	Enterobacteria phage HK633	NC_019719		RefSeq	database
1147148	Enterobacteria phage HK629	NC_019711		RefSeq	database
1147149	Enterobacteria phage mEp043 c-1	NC_019706		RefSeq	database
1147150	Enterobacteria phage mEp235	NC_019708		RefSeq	database
1147151	Enterobacteria phage mEp237	NC_019704		RefSeq	database
1147152	Enterobacteria phage mEp460	NC_019716		RefSeq	database
1147153	Enterobacteria phage mEpX1	NC_019709		RefSeq	database
1147154	Enterobacteria phage mEpX2	NC_019705		RefSeq	database
1147155	Enterobacteria phage vB_EcoS_Rogue1	NC_019718		RefSeq	database
1147156	Enterobacterial phage mEp213	NC_019720		RefSeq	database
1147157	Enterobacterial phage mEp234	NC_019715		RefSeq	database
1147158	Enterobacterial phage mEp390	NC_019721		RefSeq	database
12017	Enterobacteria phage fr	X15031		UniProt	database
12018	Enterobacteria phage GA	X03869		UniProt	database
12022	Enterobacterio phage MS2	"JQ966307, V00642"		RefSeq	database
12027	Enterobacteria phage SP	X07489		UniProt	database
1216926	Escherichia phage ADB-2	NC_019725	23516186	Literature	database
1229753	Escherichia phage phAPEC8	NC_020079		RefSeq	database
12353	Enterobacteria phage RB69	NC_004928		"RefSeq, UniProt"	database
1237159	Enterobacteria phage NJ01	NC_018835		RefSeq	database
1237364	Escherichia phage HX01	NC_018855		RefSeq	database
