Contigs id(VIRUS)	Sequence location	pmid	evidence
Gammaproteobacteria_gi_481021883	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021322	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021411	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333069422	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333054691	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333069142_7230_43501	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333069149	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333069152	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_333069176	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_445493120	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732682	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732688_17311_51164	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732748	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732861	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732913	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452732950	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733005	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733007	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733147	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733154	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733165	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733324	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733374	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733380	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733388	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733486_13328_70718	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733618	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733712	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733755_16505_69770	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733769	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452733789	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452741336_0_27633	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452741421	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452741513	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734260	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734332	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734354	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734370_48739_81557	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734382	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734396	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734407	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734434	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734447_0_32794	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734458	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734466	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452916955	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734469	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734610	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734696	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734730	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734777	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734798	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734812	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734874_244543_251248	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734905	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734921	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452734995	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735198	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735228	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735256	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735339	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735557	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735578	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735594	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735657	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735825	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735834_8512_93839	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735870	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735871	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735887	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735940_0_29286	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452735978	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736072	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736100	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736173	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736179	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736190	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736220	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736221	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736228_62729_82779	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736338	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736396	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736500	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736559	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736570_1828_38427	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736580	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736597	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736766	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736803	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736853	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736859	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736919	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452736964_0_41957	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737010	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737037	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737042	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737044_7473_16164	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737694	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737829	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737878	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737981	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452737991_1796_24904	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738027	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738042	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738055	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738061	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738158	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738232	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452738256	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739078_807_31977	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739212	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739368	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739385	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739397	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739596	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739659	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739674	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739676	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739681	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739750	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739800	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739863	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452739929	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740034	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740076	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740130	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740151_0_13480	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740197	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740199	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740211	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740235	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740256	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740263	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740366	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740379	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740382	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740481	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740514	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740544	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740582	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740653	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740897	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740915	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452740941	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_301324464	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_301330864	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_301331006	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_301332271	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_424051190	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021430_34307_72916	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021442	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_416150298	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_416150982	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_416151183	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021535	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021697	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021706	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021708	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021728	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452704112	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452704130_168869_206790	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452704131_0_49186	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452704132_327109_372859	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452704137	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_216265005	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481022213	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481022218	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481022013	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481022112	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417868840_0_21968	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417870530	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489258418	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489273109	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489285945	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489313211_33930_70030	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489319072	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489323864	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489327416	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489330692	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489330989_0_17069	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489335589	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489335950	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489336153	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489352331	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489353850	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489353914	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489355828	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489356081	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489358119	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489358252	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489358365	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489367229	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489371609	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489372798	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489372967	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489373919	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489374251	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489374963	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489376960	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489378397	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489381348	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489382006	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489383696	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489383865	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489384114	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489393746	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489395374	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489397818	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489398226	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489399075	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489399575	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489399625	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489399710	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489406804	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490707719_16806_52905	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708119	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708151	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417872714	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417873779	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417874182	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417874997	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417876138	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489410444	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489413238	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708858	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708860	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708866	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490708869	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489414281	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489414335	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489415741	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489415795	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489415949	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489416412	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489416446	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489427235	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489427437	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489430139	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489430240	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489430319	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489430855	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489430923	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489445320	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489445829	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489450134	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489450980	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489451051	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489451269	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489451792	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489478687_0_21970	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489480542	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489052422	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489052885	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489055546	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489055629	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489057112	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489057227	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489057669	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489057705	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417877323	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417882666	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417883085	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417883141	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417883804	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417884026	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417884297	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417884644	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489199027_9179_40374	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489199234_3576_16999	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489199916	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489204623_33912_70009	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489206598	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489206652	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489208822	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489209124	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489212380	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489216092	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_489221009	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421205227	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421205282	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421535959	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421536002	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491285124	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491286131_396353_445164	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452724915	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452725005	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421799980	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421801088	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421691305	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421692020	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421455093	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421686474	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421689343	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421641562	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421643114_94899_110488	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421643305	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421645694	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421646740_1775_17364	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421646976	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421648727	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421699077	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421699372	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421701290_2867_18455	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_387122089_1575025_1616396	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_469816145	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_458775987_356067_385385	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_458777347	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_425752207	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_425752300	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_425752931	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_425754763	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_425755274	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417577763	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_417578405	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421790481	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421791759	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421794482	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421798195	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_445406158	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_445479627	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_445479742	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_445483523	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421789164	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490854578	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490972898_504401_534040	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491255701	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490881971_1682317_1732054	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491278475	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491269195	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491269334	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491262616_0_40089	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_514965089	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490981638	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_490878602	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_491276315	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_421652070_0_51475	26200428.fasta	26200428	VirSorter
