Host taxid	Host name	pmid	evidence
1221253	Acinetobacter baumannii AB_2007-16-25-01-7	26200428	VirSorter
1221253	Acinetobacter baumannii AB_2007-16-25-01-7	26200428	VirSorter
1221253	Acinetobacter baumannii AB_2007-16-25-01-7	26200428	VirSorter
1221253	Acinetobacter baumannii AB_2007-16-25-01-7	26200428	VirSorter
1221254	Acinetobacter baumannii AB_2007-16-27-01	26200428	VirSorter
1221254	Acinetobacter baumannii AB_2007-16-27-01	26200428	VirSorter
1221254	Acinetobacter baumannii AB_2007-16-27-01	26200428	VirSorter
1221254	Acinetobacter baumannii AB_2007-16-27-01	26200428	VirSorter
1221255	Acinetobacter baumannii AB_2008-15-34-7	26200428	VirSorter
1221255	Acinetobacter baumannii AB_2008-15-34-7	26200428	VirSorter
1221256	Acinetobacter baumannii AB_2008-15-45	26200428	VirSorter
1221256	Acinetobacter baumannii AB_2008-15-45	26200428	VirSorter
1221257	Acinetobacter baumannii AB_2008-15-52	26200428	VirSorter
1221257	Acinetobacter baumannii AB_2008-15-52	26200428	VirSorter
1221257	Acinetobacter baumannii AB_2008-15-52	26200428	VirSorter
1221258	Acinetobacter baumannii AB_2008-15-69	26200428	VirSorter
1221258	Acinetobacter baumannii AB_2008-15-69	26200428	VirSorter
1221258	Acinetobacter baumannii AB_2008-15-69	26200428	VirSorter
1221259	Acinetobacter baumannii AB_2008-15-70	26200428	VirSorter
1221260	Acinetobacter baumannii AB_2008-15-71	26200428	VirSorter
1221260	Acinetobacter baumannii AB_2008-15-71	26200428	VirSorter
1221260	Acinetobacter baumannii AB_2008-15-71	26200428	VirSorter
1221261	Acinetobacter baumannii AB_2008-23-01-01-7	26200428	VirSorter
1221262	Acinetobacter baumannii AB_2008-23-07-01-7	26200428	VirSorter
1221262	Acinetobacter baumannii AB_2008-23-07-01-7	26200428	VirSorter
1221262	Acinetobacter baumannii AB_2008-23-07-01-7	26200428	VirSorter
1221263	Acinetobacter baumannii AB_2009-04-01-7	26200428	VirSorter
1221264	Acinetobacter baumannii AB_2009-04-02-7	26200428	VirSorter
1221264	Acinetobacter baumannii AB_2009-04-02-7	26200428	VirSorter
1221264	Acinetobacter baumannii AB_2009-04-02-7	26200428	VirSorter
1221264	Acinetobacter baumannii AB_2009-04-02-7	26200428	VirSorter
1221265	Acinetobacter baumannii AB_515-8	26200428	VirSorter
1221265	Acinetobacter baumannii AB_515-8	26200428	VirSorter
1221265	Acinetobacter baumannii AB_515-8	26200428	VirSorter
1221265	Acinetobacter baumannii AB_515-8	26200428	VirSorter
1221265	Acinetobacter baumannii AB_515-8	26200428	VirSorter
1221266	Acinetobacter baumannii AB_908-12	26200428	VirSorter
1221266	Acinetobacter baumannii AB_908-12	26200428	VirSorter
1221266	Acinetobacter baumannii AB_908-12	26200428	VirSorter
1221266	Acinetobacter baumannii AB_908-12	26200428	VirSorter
1221266	Acinetobacter baumannii AB_908-12	26200428	VirSorter
1221267	Acinetobacter baumannii AB_908-13	26200428	VirSorter
1221267	Acinetobacter baumannii AB_908-13	26200428	VirSorter
1221267	Acinetobacter baumannii AB_908-13	26200428	VirSorter
1221268	Acinetobacter baumannii AB_908-14-7	26200428	VirSorter
1221268	Acinetobacter baumannii AB_908-14-7	26200428	VirSorter
1221268	Acinetobacter baumannii AB_908-14-7	26200428	VirSorter
1221268	Acinetobacter baumannii AB_908-14-7	26200428	VirSorter
1221268	Acinetobacter baumannii AB_908-14-7	26200428	VirSorter
1221269	Acinetobacter baumannii AB_909-01-7	26200428	VirSorter
1221269	Acinetobacter baumannii AB_909-01-7	26200428	VirSorter
1221270	Acinetobacter baumannii AB_909-02-7	26200428	VirSorter
1221270	Acinetobacter baumannii AB_909-02-7	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221271	Acinetobacter baumannii AB_909-05	26200428	VirSorter
1221273	Acinetobacter baumannii AB_TG19617	26200428	VirSorter
1221274	Acinetobacter baumannii AB_TG2018	26200428	VirSorter
1221274	Acinetobacter baumannii AB_TG2018	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221275	Acinetobacter baumannii AB_TG2022	26200428	VirSorter
1221276	Acinetobacter baumannii AB_TG2023	26200428	VirSorter
1221276	Acinetobacter baumannii AB_TG2023	26200428	VirSorter
1221276	Acinetobacter baumannii AB_TG2023	26200428	VirSorter
1221278	Acinetobacter baumannii AB_TG2028	26200428	VirSorter
1221279	Acinetobacter baumannii AB_TG2030	26200428	VirSorter
1221281	Acinetobacter baumannii AB_TG2032	26200428	VirSorter
1221281	Acinetobacter baumannii AB_TG2032	26200428	VirSorter
1221281	Acinetobacter baumannii AB_TG2032	26200428	VirSorter
1221281	Acinetobacter baumannii AB_TG2032	26200428	VirSorter
1221281	Acinetobacter baumannii AB_TG2032	26200428	VirSorter
1221282	Acinetobacter baumannii AB_TG2631	26200428	VirSorter
1221282	Acinetobacter baumannii AB_TG2631	26200428	VirSorter
1221282	Acinetobacter baumannii AB_TG2631	26200428	VirSorter
1221282	Acinetobacter baumannii AB_TG2631	26200428	VirSorter
1221283	Acinetobacter baumannii AB_TG27323	26200428	VirSorter
1221284	Acinetobacter baumannii AB_TG27327	26200428	VirSorter
1221284	Acinetobacter baumannii AB_TG27327	26200428	VirSorter
1221285	Acinetobacter baumannii AB_TG27331	26200428	VirSorter
1221285	Acinetobacter baumannii AB_TG27331	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221286	Acinetobacter baumannii AB_TG27335	26200428	VirSorter
1221287	Acinetobacter baumannii AB_TG27339	26200428	VirSorter
1221287	Acinetobacter baumannii AB_TG27339	26200428	VirSorter
1221288	Acinetobacter baumannii AB_TG27343	26200428	VirSorter
1221288	Acinetobacter baumannii AB_TG27343	26200428	VirSorter
1221288	Acinetobacter baumannii AB_TG27343	26200428	VirSorter
1221288	Acinetobacter baumannii AB_TG27343	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
1221290	Acinetobacter baumannii AB_TG5064	26200428	VirSorter
710094	Acinetobacter baumannii AB056	26200428	VirSorter
710095	Acinetobacter baumannii AB058	26200428	VirSorter
710095	Acinetobacter baumannii AB058	26200428	VirSorter
710096	Acinetobacter baumannii AB059	26200428	VirSorter
1168588	Acinetobacter baumannii Ab11111	26200428	VirSorter
1222031	Acinetobacter baumannii AB1H8	26200428	VirSorter
1222031	Acinetobacter baumannii AB1H8	26200428	VirSorter
886886	Acinetobacter baumannii AB210	26200428	VirSorter
886886	Acinetobacter baumannii AB210	26200428	VirSorter
886886	Acinetobacter baumannii AB210	26200428	VirSorter
1222033	Acinetobacter baumannii AB405E4	26200428	VirSorter
1222032	Acinetobacter baumannii AB4A3	26200428	VirSorter
1222032	Acinetobacter baumannii AB4A3	26200428	VirSorter
1222032	Acinetobacter baumannii AB4A3	26200428	VirSorter
1222032	Acinetobacter baumannii AB4A3	26200428	VirSorter
1116236	Acinetobacter baumannii AB5711	26200428	VirSorter
1116236	Acinetobacter baumannii AB5711	26200428	VirSorter
1116236	Acinetobacter baumannii AB5711	26200428	VirSorter
1116236	Acinetobacter baumannii AB5711	26200428	VirSorter
1116236	Acinetobacter baumannii AB5711	26200428	VirSorter
557601	Acinetobacter baumannii AB900	26200428	VirSorter
1200351	Acinetobacter baumannii ABIsac_ColiR	26200428	VirSorter
1200351	Acinetobacter baumannii ABIsac_ColiR	26200428	VirSorter
1200350	Acinetobacter baumannii ABIsac_ColiS	26200428	VirSorter
1200350	Acinetobacter baumannii ABIsac_ColiS	26200428	VirSorter
992402	Acinetobacter baumannii ABNIH1	26200428	VirSorter
992402	Acinetobacter baumannii ABNIH1	26200428	VirSorter
1094474	Acinetobacter baumannii ABNIH10	26200428	VirSorter
1094474	Acinetobacter baumannii ABNIH10	26200428	VirSorter
1094474	Acinetobacter baumannii ABNIH10	26200428	VirSorter
1094475	Acinetobacter baumannii ABNIH11	26200428	VirSorter
1094475	Acinetobacter baumannii ABNIH11	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094477	Acinetobacter baumannii ABNIH13	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094478	Acinetobacter baumannii ABNIH14	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094479	Acinetobacter baumannii ABNIH15	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094480	Acinetobacter baumannii ABNIH16	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094481	Acinetobacter baumannii ABNIH17	26200428	VirSorter
1094482	Acinetobacter baumannii ABNIH18	26200428	VirSorter
1094483	Acinetobacter baumannii ABNIH19	26200428	VirSorter
1094483	Acinetobacter baumannii ABNIH19	26200428	VirSorter
1094483	Acinetobacter baumannii ABNIH19	26200428	VirSorter
992403	Acinetobacter baumannii ABNIH2	26200428	VirSorter
992403	Acinetobacter baumannii ABNIH2	26200428	VirSorter
992403	Acinetobacter baumannii ABNIH2	26200428	VirSorter
992403	Acinetobacter baumannii ABNIH2	26200428	VirSorter
992403	Acinetobacter baumannii ABNIH2	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094484	Acinetobacter baumannii ABNIH20	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094486	Acinetobacter baumannii ABNIH22	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094487	Acinetobacter baumannii ABNIH23	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1094488	Acinetobacter baumannii ABNIH24	26200428	VirSorter
1224165	Acinetobacter baumannii ABNIH25	26200428	VirSorter
1224165	Acinetobacter baumannii ABNIH25	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
1224166	Acinetobacter baumannii ABNIH26	26200428	VirSorter
992404	Acinetobacter baumannii ABNIH3	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
992405	Acinetobacter baumannii ABNIH4	26200428	VirSorter
1094469	Acinetobacter baumannii ABNIH5	26200428	VirSorter
1094469	Acinetobacter baumannii ABNIH5	26200428	VirSorter
1094469	Acinetobacter baumannii ABNIH5	26200428	VirSorter
1094470	Acinetobacter baumannii ABNIH6	26200428	VirSorter
1094470	Acinetobacter baumannii ABNIH6	26200428	VirSorter
1094470	Acinetobacter baumannii ABNIH6	26200428	VirSorter
1094471	Acinetobacter baumannii ABNIH7	26200428	VirSorter
1094471	Acinetobacter baumannii ABNIH7	26200428	VirSorter
1094471	Acinetobacter baumannii ABNIH7	26200428	VirSorter
1094471	Acinetobacter baumannii ABNIH7	26200428	VirSorter
1094471	Acinetobacter baumannii ABNIH7	26200428	VirSorter
1198108	Acinetobacter baumannii AC12	26200428	VirSorter
1198108	Acinetobacter baumannii AC12	26200428	VirSorter
1224747	Acinetobacter baumannii AC30	26200428	VirSorter
1224747	Acinetobacter baumannii AC30	26200428	VirSorter
575584	Acinetobacter baumannii ATCC 19606 = CIP 70.34	26200428	VirSorter
575584	Acinetobacter baumannii ATCC 19606 = CIP 70.34	26200428	VirSorter
1210907	Acinetobacter baumannii BZICU-2	26200428	VirSorter
1210907	Acinetobacter baumannii BZICU-2	26200428	VirSorter
903924	Acinetobacter baumannii Canada BC1	26200428	VirSorter
903924	Acinetobacter baumannii Canada BC1	26200428	VirSorter
903912	Acinetobacter baumannii IS-116	26200428	VirSorter
903912	Acinetobacter baumannii IS-116	26200428	VirSorter
903899	Acinetobacter baumannii IS-123	26200428	VirSorter
903911	Acinetobacter baumannii IS-143	26200428	VirSorter
903911	Acinetobacter baumannii IS-143	26200428	VirSorter
903905	Acinetobacter baumannii IS-235	26200428	VirSorter
903905	Acinetobacter baumannii IS-235	26200428	VirSorter
903905	Acinetobacter baumannii IS-235	26200428	VirSorter
903906	Acinetobacter baumannii IS-251	26200428	VirSorter
903906	Acinetobacter baumannii IS-251	26200428	VirSorter
903906	Acinetobacter baumannii IS-251	26200428	VirSorter
903906	Acinetobacter baumannii IS-251	26200428	VirSorter
903914	Acinetobacter baumannii IS-58	26200428	VirSorter
903914	Acinetobacter baumannii IS-58	26200428	VirSorter
903914	Acinetobacter baumannii IS-58	26200428	VirSorter
889738	Acinetobacter baumannii MDR-TJ	26200428	VirSorter
889738	Acinetobacter baumannii MDR-TJ	26200428	VirSorter
1278070	Acinetobacter baumannii MSP4-16	26200428	VirSorter
1278070	Acinetobacter baumannii MSP4-16	26200428	VirSorter
903920	Acinetobacter baumannii Naval-113	26200428	VirSorter
903920	Acinetobacter baumannii Naval-113	26200428	VirSorter
903920	Acinetobacter baumannii Naval-113	26200428	VirSorter
903920	Acinetobacter baumannii Naval-113	26200428	VirSorter
903920	Acinetobacter baumannii Naval-113	26200428	VirSorter
903896	Acinetobacter baumannii Naval-17	26200428	VirSorter
903896	Acinetobacter baumannii Naval-17	26200428	VirSorter
903922	Acinetobacter baumannii Naval-2	26200428	VirSorter
903922	Acinetobacter baumannii Naval-2	26200428	VirSorter
903922	Acinetobacter baumannii Naval-2	26200428	VirSorter
903923	Acinetobacter baumannii Naval-21	26200428	VirSorter
903927	Acinetobacter baumannii Naval-57	26200428	VirSorter
903936	Acinetobacter baumannii Naval-78	26200428	VirSorter
903936	Acinetobacter baumannii Naval-78	26200428	VirSorter
903936	Acinetobacter baumannii Naval-78	26200428	VirSorter
903921	Acinetobacter baumannii Naval-82	26200428	VirSorter
1217642	Acinetobacter baumannii NIPH 1362	26200428	VirSorter
1217640	Acinetobacter baumannii NIPH 190	26200428	VirSorter
1217630	Acinetobacter baumannii NIPH 201	26200428	VirSorter
1217645	Acinetobacter baumannii NIPH 2061	26200428	VirSorter
1217631	Acinetobacter baumannii NIPH 290	26200428	VirSorter
1217632	Acinetobacter baumannii NIPH 329	26200428	VirSorter
1217632	Acinetobacter baumannii NIPH 329	26200428	VirSorter
1217633	Acinetobacter baumannii NIPH 335	26200428	VirSorter
1217634	Acinetobacter baumannii NIPH 410	26200428	VirSorter
1217647	Acinetobacter baumannii NIPH 60	26200428	VirSorter
1217641	Acinetobacter baumannii NIPH 615	26200428	VirSorter
1217628	Acinetobacter baumannii NIPH 70	26200428	VirSorter
903907	Acinetobacter baumannii OIFC0162	26200428	VirSorter
903928	Acinetobacter baumannii OIFC021	26200428	VirSorter
903928	Acinetobacter baumannii OIFC021	26200428	VirSorter
903926	Acinetobacter baumannii OIFC035	26200428	VirSorter
903933	Acinetobacter baumannii OIFC047	26200428	VirSorter
903932	Acinetobacter baumannii OIFC065	26200428	VirSorter
903932	Acinetobacter baumannii OIFC065	26200428	VirSorter
903901	Acinetobacter baumannii OIFC074	26200428	VirSorter
903929	Acinetobacter baumannii OIFC087	26200428	VirSorter
903929	Acinetobacter baumannii OIFC087	26200428	VirSorter
903930	Acinetobacter baumannii OIFC099	26200428	VirSorter
903892	Acinetobacter baumannii OIFC109	26200428	VirSorter
903910	Acinetobacter baumannii OIFC110	26200428	VirSorter
903910	Acinetobacter baumannii OIFC110	26200428	VirSorter
903910	Acinetobacter baumannii OIFC110	26200428	VirSorter
903910	Acinetobacter baumannii OIFC110	26200428	VirSorter
903910	Acinetobacter baumannii OIFC110	26200428	VirSorter
903935	Acinetobacter baumannii OIFC111	26200428	VirSorter
903935	Acinetobacter baumannii OIFC111	26200428	VirSorter
903935	Acinetobacter baumannii OIFC111	26200428	VirSorter
903903	Acinetobacter baumannii OIFC180	26200428	VirSorter
903903	Acinetobacter baumannii OIFC180	26200428	VirSorter
903903	Acinetobacter baumannii OIFC180	26200428	VirSorter
903894	Acinetobacter baumannii OIFC189	26200428	VirSorter
903894	Acinetobacter baumannii OIFC189	26200428	VirSorter
903934	Acinetobacter baumannii OIFC338	26200428	VirSorter
903934	Acinetobacter baumannii OIFC338	26200428	VirSorter
1221292	Acinetobacter baumannii TG19582	26200428	VirSorter
1221292	Acinetobacter baumannii TG19582	26200428	VirSorter
1221292	Acinetobacter baumannii TG19582	26200428	VirSorter
1221292	Acinetobacter baumannii TG19582	26200428	VirSorter
1221292	Acinetobacter baumannii TG19582	26200428	VirSorter
933263	Acinetobacter baumannii UMB001	26200428	VirSorter
933263	Acinetobacter baumannii UMB001	26200428	VirSorter
933263	Acinetobacter baumannii UMB001	26200428	VirSorter
933264	Acinetobacter baumannii UMB002	26200428	VirSorter
933265	Acinetobacter baumannii UMB003	26200428	VirSorter
933265	Acinetobacter baumannii UMB003	26200428	VirSorter
933265	Acinetobacter baumannii UMB003	26200428	VirSorter
981329	Acinetobacter baumannii W7282	26200428	VirSorter
903916	Acinetobacter baumannii WC-136	26200428	VirSorter
903916	Acinetobacter baumannii WC-136	26200428	VirSorter
903915	Acinetobacter baumannii WC-141	26200428	VirSorter
903915	Acinetobacter baumannii WC-141	26200428	VirSorter
903915	Acinetobacter baumannii WC-141	26200428	VirSorter
903918	Acinetobacter baumannii WC-323	26200428	VirSorter
903918	Acinetobacter baumannii WC-323	26200428	VirSorter
903918	Acinetobacter baumannii WC-323	26200428	VirSorter
903919	Acinetobacter baumannii WC-348	26200428	VirSorter
903917	Acinetobacter baumannii WC-487	26200428	VirSorter
903913	Acinetobacter baumannii WC-692	26200428	VirSorter
903931	Acinetobacter baumannii WC-A-92	26200428	VirSorter
1400867	Acinetobacter baumannii ZW85-1	26200428	VirSorter
1223564	Acinetobacter baumannii ZWS1122	26200428	VirSorter
1223564	Acinetobacter baumannii ZWS1122	26200428	VirSorter
1223564	Acinetobacter baumannii ZWS1122	26200428	VirSorter
1224141	Acinetobacter baumannii ZWS1219	26200428	VirSorter
1224141	Acinetobacter baumannii ZWS1219	26200428	VirSorter
981324	Acinetobacter bereziniae LMG 1003	26200428	VirSorter
981324	Acinetobacter bereziniae LMG 1003	26200428	VirSorter
981324	Acinetobacter bereziniae LMG 1003	26200428	VirSorter
